,lead_changes,h_Avg_pts,h_Avg_pts_alwd,h_fga,h_fg_pct,h_fg2a,h_fg2_pct,h_fg3a,h_fg3_pct,h_fta,h_ft_pct,h_opp_fga,h_opp_fg_pct,h_opp_fg2a,h_opp_fg2_pct,h_opp_fg3a,h_opp_fg3_pct,h_opp_fta,result,home_id1,opp_id_x,Date1,lead_changes,Avg_pts_alwd,Avg_pts,fg,fga,fg_pct,fg2a,fg2_pct,fg3a,fg3_pct,fta,opp_fga,opp_fg_pct,opp_fg2a,opp_fg2_pct,opp_fg3a,opp_fg3_pct,opp_fta,opp_ft_pct,home_id,opp_id_x,Date,season,neutral,opp_id_y,elo1_pre,elo2_pre,elo_prob1,elo_prob2,score1,score2
100,,,,,,,,,,,,,,,,,,,L,LAC,SAS,11/10/14,,,,,,,,,,,,,,,,,,,,LAC,SAS,11/10/14,2015,0,SAS,1616.5344,1672.6333,0.562844653,0.437155347,85,89
101,,,,,,,,,,,,,,,,,,,L,NYK,ATL,11/10/14,,,,,,,,,,,,,,,,,,,,NYK,ATL,11/10/14,2015,0,ATL,1485.4983,1494.9514,0.627435303,0.372564697,85,91
102,,,,,,,,,,,,,,,,,,,W,DAL,SAC,11/11/14,,,,,,,,,,,,,,,,,,,,DAL,SAC,11/11/14,2015,0,SAC,1586.2744,1475.192,0.771197968,0.228802032,106,98
103,,,,,,,,,,,,,,,,,,,L,GSW,SAS,11/11/14,,,,,,,,,,,,,,,,,,,,GSW,SAS,11/11/14,2015,0,SAS,1630.2834,1680.0117,0.571846095,0.428153905,100,113
104,,,,,,,,,,,,,,,,,,,W,MEM,LAL,11/11/14,,,,,,,,,,,,,,,,,,,,MEM,LAL,11/11/14,2015,0,LAL,1613.4857,1404.0479,0.855853264,0.144146736,107,102
105,,,,,,,,,,,,,,,,,,,W,MIL,OKC,11/11/14,,,,,,,,,,,,,,,,,,,,MIL,OKC,11/11/14,2015,0,OKC,1337.2568,1575.3979,0.311052343,0.688947657,85,78
106,,,,,,,,,,,,,,,,,,,W,POR,CHO,11/11/14,,,,,,,,,,,,,,,,,,,,POR,CHO,11/11/14,2015,0,CHO,1580.5385,1492.5685,0.746880275,0.253119725,102,100
107,,,,,,,,,,,,,,,,,,,W,TOR,ORL,11/11/14,,,,,,,,,,,,,,,,,,,,TOR,ORL,11/11/14,2015,0,ORL,1585.0277,1353.3705,0.870926133,0.129073867,104,100
108,,,,,,,,,,,,,,,,,,,W,ATL,UTA,11/12/14,,,,,,,,,,,,,,,,,,,,ATL,UTA,11/12/14,2015,0,UTA,1505.4128,1383.9275,0.781592663,0.218407337,100,97
109,,,,,,,,,,,,,,,,,,,L,BOS,OKC,11/12/14,,,,,,,,,,,,,,,,,,,,BOS,OKC,11/12/14,2015,0,OKC,1407.1082,1562.3658,0.421141711,0.578858289,94,109
110,,,,,,,,,,,,,,,,,,,L,DEN,POR,11/12/14,,,,,,,,,,,,,,,,,,,,DEN,POR,11/12/14,2015,0,POR,1433.2789,1582.6648,0.429402808,0.570597192,113,130
111,,,,,,,,,,,,,,,,,,,L,MIA,IND,11/12/14,,,,,,,,,,,,,,,,,,,,MIA,IND,11/12/14,2015,0,IND,1589.9019,1485.9758,0.763847972,0.236152028,75,81
112,,,,,,,,,,,,,,,,,,,L,MIN,HOU,11/12/14,,,,,,,,,,,,,,,,,,,,MIN,HOU,11/12/14,2015,1,HOU,1502.9229,1635.7723,0.317617479,0.682382521,101,113
113,,,,,,,,,,,,,,,,,,,W,NOP,LAL,11/12/14,,,,,,,,,,,,,,,,,,,,NOP,LAL,11/12/14,2015,0,LAL,1465.0203,1402.4216,0.718289624,0.281710376,109,102
114,,,,,,,,,,,,,,,,,,,L,NYK,ORL,11/12/14,,,,,,,,,,,,,,,,,,,,NYK,ORL,11/12/14,2015,0,ORL,1475.0369,1352.0802,0.7830351,0.2169649,95,97
